Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,Hour,SunRise,SunSet,MomentOfDay,fortnight,month,Rad
Normal,High,High,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Slow,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Fast,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,E,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,S,Slow,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,High,High,E,Normal,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,E,Normal,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,S,Normal,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,E,Slow,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,E,Slow,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,S,Normal,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,E,Slow,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,E,Slow,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,S,Slow,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,S,Normal,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Normal,S,Slow,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,S,Slow,20,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,S,Normal,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,S,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,E,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,S,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,S,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,S,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,E,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,E,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,E,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,E,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,E,Slow,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,S,Normal,19,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,E,Normal,18,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,E,Normal,18,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,Normal,Low,S,Normal,18,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,Normal,Low,E,Normal,18,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,Normal,Low,E,Normal,18,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,High,Low,S,Slow,18,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,Normal,Low,S,Slow,18,0-20,0-20,Afternoon,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Slow,18,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Normal,Normal,Normal,E,Normal,18,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Normal,Normal,Low,E,Normal,18,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,S,Slow,18,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,E,Normal,18,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,E,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,E,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,N,Normal,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,E,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,E,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,S,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,S,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,E,Normal,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,N,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,N,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,E,Normal,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,N,Slow,17,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,E,Slow,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Slow,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Slow,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,E,Slow,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Slow,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Slow,16,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,N,Fast,16,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Slow,15,0-20,0-20,Afternoon,fortnight 2,Sep,Med
Heat,Normal,Low,N,Normal,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Fast,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,E,Slow,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Fast,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Slow,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Fast,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,15,0-20,0-20,Afternoon,fortnight 2,Sep,High
Heat,Normal,Low,S,Slow,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Slow,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,S,Slow,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Slow,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Slow,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,14,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Slow,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Fast,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Normal,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Fast,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Fast,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,S,Normal,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Fast,13,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Fast,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,N,Fast,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,Normal,Low,E,Fast,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,E,Fast,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,E,Normal,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,N,Normal,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,E,Slow,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,N,Normal,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,N,Fast,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,N,Fast,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,E,Slow,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,N,Slow,12,0-20,0-20,Midday,fortnight 2,Sep,High
Heat,High,Low,N,Slow,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Fast,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Fast,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,11,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Normal,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Normal,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Normal,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,10,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Fast,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Normal,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,S,Slow,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Normal,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Slow,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Fast,09,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Normal,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,N,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,High,Low,E,Slow,08,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,Normal,Low,E,Normal,07,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,Normal,Low,E,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,Normal,Low,E,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,Normal,Low,E,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,High
Heat,Normal,Low,S,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,High
Normal,Normal,Low,S,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,Med
Normal,Normal,Low,S,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,Med
Normal,Normal,Low,S,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,Med
Normal,Normal,Low,S,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Slow,07,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Normal,07,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Fast,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Fast,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Fast,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Normal,Low,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Low,Low,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Low,Normal,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Low,Normal,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Med
Cold,Low,Normal,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,06,0-20,0-20,Morning,fortnight 2,Sep,Low
Cold,Low,Low,S,Fast,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Fast,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Fast,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,05,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,04,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,03,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Slow,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Low,S,Normal,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Slow,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Slow,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,02,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Slow,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,01,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,00,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,00,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Slow,00,0-20,0-20,Night,fortnight 2,Sep,Low
Cold,Low,Normal,S,Normal,00,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Low,Normal,S,Slow,00,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Low,Normal,S,Normal,00,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Low,Normal,S,Slow,00,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,00,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,00,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,E,Slow,00,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,00,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Slow,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Fast,23,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Fast,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Fast,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Fast,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,E,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,E,Slow,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,E,Slow,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Slow,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,22,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,E,Slow,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Slow,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Normal,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Slow,21,0-20,0-20,Night,fortnight 2,Sep,Low
Normal,Normal,Normal,S,Slow,21,0-20,0-20,Night,fortnight 2,Sep,Low
